nama,starclick_profile
OFF 3 GS ACCOUNT PLAN & TEAM MANAGEMENT,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
OFF 3 INBOUND CHANNEL/KAUBIS SORONG,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
OFF 3 INFRA OPERATION & MAINTENANCE,Approval Order SCBE|Create and list opportunity|Invalid Survey SCBE|NEWINDISOL - Inputer|NEWINDISOL - Viewer|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Admin|SC Frontend - Inputer|SC Frontend - Viewer|SCFE Inputer - DCS|Tools|User Revoke
OFF 3 LEGAL & REGULATORY,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
OFF 3 LOGISTIC & PROCUREMENT,Approval Order SCBE|Dashboard Report Agent|report plasa organik|SC Backend - Viewer|SC Frontend - Viewer|User Revoke
OFF 3 LOGISTIK & LEGAL,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
OFF 3 MAINTENANCE,Invalid Survey SCBE|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Viewer|SCFE - Input Service Request All|SCFE - Input Service Request Basic|SCFE Inputer - DCS|User Revoke
OFF 3 MAINTENANCE & DATA MANAGEMENT,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
OFF 3 MBB ASSURANCE,SC Backend - Viewer|SC Frontend - Viewer|User Revoke
OFF 3 MBB FULFILLMENT,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|Tools
OFF 3 MBB FULFILLMENT & ASSURANCE,Create and list opportunity|Invalid Survey SCBE|NEWINDISOL - Inputer|SC Backend - Inputer|SCFE Inputer - DCS|Tools|User Revoke
"OFF 3 NETWORK PERFORM,QUALITY MGMT&ADMIN",Invalid Survey SCBE|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Viewer|SCFE Inputer - DCS|Tools|User Revoke
OFF 3 OLO ASSURANCE,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
"OFF 3 OM IP NETWORK, IS & SWITCHING",SC Backend - Viewer|SC Frontend - Viewer|User Revoke
"OFF 3 OM IP NW, IS & SWITCHING",Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
Off 3 OM Lokasi,Inbox Cancel Telkomsel|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
"OFF 3 OM TRANSPORT, RADIO & MUX",Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Inputer|User Revoke EBIS
"OFF 3 OPTIMA, NTE MANAGEMENT & QE",Cancel massal|Invalid Survey SCBE|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke|User Revoke EBIS
OFF 3 PARTNERSHIP & AGENCY,Inbox Cancel Telkomsel|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|Tools
OFF 3 Payment Collection Witel Bandung Barat,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
OFF 3 PERFORMANCE & RISK MANAGEMENT,cek status massal|Create and list opportunity|Invalid Survey SCBE|NEWINDISOL - Viewer|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke
OFF 3 PERFORMANCE MANAGEMENT,Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Inputer
OFF 3 QOS & REVENUE ASSURANCE,Invalid Survey SCBE|NEWINDISOL - Inputer|SC Backend - Inputer|SCFE Inputer - DCS
"OFF 3 QOS, SLG & DATA CUSTOMER	",Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
OFF 3 QUALITY ASSURANCE,NEWINDISOL - Inputer|SC Backend - Viewer|SC Frontend - Viewer|User Revoke
OFF 3 QUALITY OF SALES&REVENUE ASSURANCE,Dashboard Report Agent|Invalid Survey SCBE|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Viewer|SCFE - Input Service Request All|SCFE Inputer - DCS
OFF 3 RUMAH BUMN,Inbox Cancel Telkomsel|Invalid Survey SCBE|NEWINDISOL - Inputer|SC Backend - Inputer|SCFE Inputer - DCS|Tools
OFF 3 RUMAH KREATIF BUMN,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
OFF 3 SALES,Cancel massal|Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
OFF 3 SALES ENGINEER,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|Tools
OFF 3 Sales Promotion,SC Backend - Inputer|SCFE Inputer - DCS
OFF 3 TECHNICAL SALES SUPPORT,SC Backend - Viewer|SC Frontend - Viewer|User Revoke
OFF 3 WITEL OPERATION CENTER & QUALITY,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|Tools|User Revoke
OFF 3 WOC & QUALITY,cek status massal|Invalid Survey SCBE|MYDIGIBIZ - Inputer|MYWIFI - Inputer|Reopen Inbox|SC Backend - Inputer|SC Frontend - Inputer|SCFE - Input Service Request All|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools|User Revoke
OFF 3 WORKFORCE MANAGEMENT SYSTEM ADM,NEWINDISOL - Viewer|SC Backend - Viewer|SC Frontend - Viewer|User Revoke
OFF-3 HOME SERVICE,Inbox Cancel Telkomsel|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
Officer 2 Program Provisioning & Migration West,SC Frontend - Viewer
Officer 2 Sales & Customer Care,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
Officer 3 Partnership & Agency,SC Backend - Inputer|SCFE Inputer - DCS
OFFICER 3 SALES,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Inputer|SCFE Inputer - DCS|Tools
OJT TRAINNER,Approval Order SCBE|Report Plasa non Organik|SC Backend - Inputer|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools
OPHAR ISCS,Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Inputer|SCFE Inputer - DCS
OSM BSS & CEM PLATFORM OPERATION,SC Frontend - Admin
OSM Customer Care Regional 1,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
OSM FULFILLMENT & OPERATION SUPPORT,Create and list opportunity|NEWINDISOL - Inputer|SCFE Inputer - DCS|UHOS - Inputer|user Apartclick
OSM MANAGED SERVICE OPERATION,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
OSM REGIONAL ACCESS MANAGEMENT,SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke
OSM REGIONAL BUSINESS SERVICE,Approval Order SCBE|Create and list opportunity|Invalid Survey SCBE|NEWINDISOL - Inputer|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke
OSM REGIONAL WHOLESALE SERVICE,Invalid Survey SCBE|NEWINDISOL - Inputer|SC Backend - Inputer|SCFE Inputer - DCS
OUTBANDCALL AGENT,SC Backend - Inputer|SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke
PLASA SANGGATA,Dashboard Report Agent|Invalid Survey SCBE|report plasa organik|SC Backend - Inputer|SC Frontend - Supervisor|SCFE - Input Service Request All|SCFE Inputer - DCS
Promotion & sales support officer,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
QC CTP,SC Frontend - Viewer|User Revoke
QCO,Approval Order SCBE|Report Plasa non Organik|SC Backend - Inputer|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools
SENIOR ACCOUNT MANAGER,Crl Task|Invalid Survey SCBE|report plasa organik|SC Backend - Inputer|SC Frontend - Management|SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke
SENIOR ADVISOR III,Approval Order SCBE|Create and list opportunity|Crl Task|Dashboard Report Agent|Invalid Survey SCBE|Mass Order|NEWINDISOL - Inputer|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Management|SC Frontend - Supervisor|SC Frontend - Viewer|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools|User Revoke
SITE MANAGER,Invalid Survey SCBE|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Viewer|SCFE - HSI dan SCBE FU HSI|SCFE Inputer - DCS|Tools|User Revoke
SITE MANAGER PROVISIONING,Invalid Survey SCBE|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke
"SM REGIONAL SOLUTION, DELIVERY&ASSURANCE",SC Frontend - Viewer|User Revoke
SO APPLICATION TRANSACTION AUDIT REPORT,SC Backend - Viewer|SC Frontend - Viewer|User Revoke
SO INFORMATION SECURITY AUDIT REPORTING,SC Backend - Viewer|SC Frontend - Viewer|User Revoke
SO MONITORING & RISK ADM PARTNER 2,Invalid Survey SCBE|SC Backend - Inputer|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE Inputer - DCS
SOLVER,SC Backend - Inputer|SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke
SOLVER ISISKA,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
SPP,SC Backend - Inputer|SCFE Inputer - DCS|User Revoke EBIS
SPV Plasa,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
SPV PLASA JAMBI,Approval Order SCBE|Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Frontend - Senior Leader|SC Frontend - Supervisor|SCFE - Input Service Request All|SCFE Inputer - DCS|Tools
SSC,SC Backend - Inputer|SC Frontend - Inputer
STAFF COMMERCE,SC Frontend - Inputer
STAFF CUSTOMER CARE,NEWINDISOL - Inputer|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Viewer|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools|User Revoke|User Revoke EBIS
STAFF DATA MANAGEMENT,SC Backend - Inputer|SCFE Inputer - DCS
STAFF HELPDESK,SC Backend - Inputer|SC Frontend - Inputer|SCFE Inputer - DCS|User Revoke
STAFF HOME SERVICE,SC Frontend - Viewer
STAFF PROVISIONING,Invalid Survey SCBE|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Viewer|SCFE - HSI dan SCBE FU HSI|SCFE Inputer - DCS|User Revoke
SUPERVISOR,Approval Order SCBE|Cancel massal|Crl Task|Invalid Survey SCBE|NEWINDISOL - Inputer|open MO|Profile khusu approval scbe|Report Plasa non Organik|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Supervisor|SC Frontend - Viewer|SCFE - Inbox Service Request|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Supervisor|Tools|User Revoke
SUPPORT,Invalid Survey SCBE|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Admin|SC Frontend - Inputer|SC Frontend - Viewer|SCFE Inputer - DCS|Tools|User Revoke
SURVEYOR,Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Viewer|User Revoke
TEAM LEADER,Approval Order SCBE|cek status massal|check order massal|Create and list opportunity|Crl Task|Invalid Survey SCBE|MYDIGIBIZ - Inputer|MYWIFI - Viewer|NEWINDISOL - Inputer|NEWINDISOL - Viewer|Profile khusu approval scbe|Reopen Inbox|Report Plasa non Organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Supervisor|SC Frontend - Viewer|SCFE - HSI dan SCBE FU HSI|SCFE - Input Service Request All|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Supervisor|Tools|User Revoke|User Revoke EBIS|Viewer
TEKNISI LOGIC,Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke
TEKNISI PROVISIONING,Invalid Survey SCBE|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke
TIM CARING,NEWINDISOL - Inputer|SC Backend - Inputer|SCFE Inputer - DCS|User Revoke
TIM SUPPORT NOSSA,SCFE Inputer - DCS
TKOS FIM DSO,SC Frontend - Viewer|SCFE Inputer - DCS
User Test,SC Frontend - Inputer|SCFE Inputer - DCS
GM WITEL CIREBON,Agent|Approval Order SCBE|Cancel massal|Create and list opportunity|Crl Task|Invalid Survey SCBE|MYWIFI - Inputer|MYWIFI - Viewer|open MO|Profile khusu approval scbe|Profile untuk judor|Report Plasa non Organik|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Backroom|SC Frontend - Inputer|SC Frontend - Management|SC Frontend - Supervisor|SC Frontend - Viewer|SCFE - Inbox Service Request|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools|User hanya PSB
OFF 1 CUST ENGAGAMENT&SALES BUSS OPERAT,Approval Order SCBE|Dashboard Report Agent|Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Frontend - Supervisor|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools
OFF 2 ASSET MGMT & FACILITY SUPPORT,SCFE Inputer - DCS
OFF 3 BGES FULFILLMENT OPERATION,SC Frontend - Viewer|User Revoke
OFF 3 ACCESS NEW FTTH SUPERVISORY,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
OFF 1 CAPEX MANAGEMENT,SC Frontend - Viewer
MGR ACCESS NEW FTTH&MODERNIZATION DEPLOY,SC Frontend - Viewer
KAKANDATEL LAMONGAN,Approval Order SCBE|Crl Task|Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SCFE - Input Service Request All|SCFE Inputer - DCS|Tools
OFF 2 CAPEX QE,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
OFF 1 SOLUTION & OFFERING,Create and list opportunity|Invalid Survey SCBE|NEWINDISOL - Inputer|SC Backend - Inputer|SCFE Inputer - DCS|Tools|UHOS - Inputer|User Revoke
OFF 2 TANGGUNG JWB SOSIAL&LINGKUNGAN&HC,Create and list opportunity
OFF 2 CUST ENGAGEMENT&SALES BUS OP,Approval Order SCBE|Cancel massal|Create and list opportunity|Invalid Survey SCBE|MYWIFI - Inputer|NEWINDISOL - Inputer|report plasa organik|SC Backend - Inputer|SC Frontend - Inputer|SCFE - HSI dan SCBE FU HSI|SCFE Inputer - DCS|Tools|UHOS - Inputer
OFF 2 ACC DATA VALIDATION&INVENTORY MGMT,Approval Order SCBE|Create and list opportunity|Dashboard Report Agent|Invalid Survey SCBE|NEWINDISOL - Inputer|Profile khusu approval scbe|Reopen Inbox|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Management|SC Frontend - Supervisor|SC Frontend - Viewer|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE Inputer - DCS|Tools|User Revoke
MGR FBB ACCESS & SERVICE OPERATION,Approval Order SCBE|Invalid Survey SCBE|NEWINDISOL - Inputer|Profile khusu approval scbe|Reopen Inbox|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Viewer|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools|User Revoke
"MGR SOLUTION, OFFERING & BIDDING MGT",SCFE Inputer - DCS
OFF 1 QUALITY OF SALES & REVENUE ASSURAN,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|User Revoke
OFF 2 CUST ENGAGEMENT&SALES BUSS OPERAT,SC Backend - Inputer|SCFE Inputer - DCS
OFF 2 DATA MANAGEMENT,Approval Order SCBE|cek status massal|Report Plasa non Organik|SC Backend - Inputer|SC Frontend - Inputer|SCFE - Input Service Request Basic|SCFE Inputer - DCS
OFF 2 FBB ACCESS PROVISIONING,SC Backend - Inputer|SC Frontend - Management|SCFE Inputer - DCS|Supervisor
OFF 2 MBB ASSURANCE,SC Backend - Inputer|SC Frontend - Inputer|SCFE Inputer - DCS
OFF 2 QUALITY OF SALES & REVENUE ASSURAN,SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Viewer|SCFE - HSI dan SCBE FU HSI|SCFE Inputer - DCS|User Revoke
"OFF 3 NETWORK PERF, QUALITY MGMT&ADM",SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Viewer|User Revoke
MGR PERFORMANCE MGMT & SLA MONITORING,SC Backend - Inputer|SCFE Inputer - DCS
OFF 2 PLANNING & CAPEX MANAGEMENT,Approval Order SCBE|Crl Task|Invalid Survey SCBE|open MO|Profile khusu approval scbe|Report Plasa non Organik|SCFE - Inbox Service Request|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools
OFF 2 FULFILLMENT SUPPORT,Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Viewer|SCFE - HSI dan SCBE FU HSI|Tools|User Revoke
TL HELPDESK,Approval Order SCBE|Cancel massal|Create and list opportunity|Crl Task|Dashboard Report Agent|Dashboard user|Helpdesk|Inbox Cancel Telkomsel|Invalid Survey SCBE|Management User|Monitoring Deposit|MYDIGIBIZ - Inputer|MYWIFI - Inputer|NEWINDISOL - Inputer|NEWINDISOL - Viewer|open MO|Profile khusu approval scbe|Report Plasa non Organik|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Admin|SC Frontend - Backroom|SC Frontend - Inputer|SC Frontend - Management|SC Frontend - Senior Leader|SC Frontend - Supervisor|SC Frontend - Viewer|SC Frontend -Service Request OPS|SC Frontend -Service Request Tes|SCBE - Mywms|SCFE - HSI dan SCBE FU HSI|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE - Input Service Request Basic|SCFE Inputer - DCS|System Administrator|Tools|Tools untuk monitoring dan terminate session|UHOS - Inputer|update millestone|User Revoke|User Revoke EBIS
SM PROV & MIG,cek status massal|MYWIFI - Viewer|NEWINDISOL - Viewer|SC Backend - Viewer|SC Frontend - Viewer|Tools|Tools untuk monitoring dan terminate session|User Revoke
SITE MANAGER PROJECT DEPLOYMENT,Approval Order SCBE|Report Plasa non Organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Viewer|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools|User Revoke
SITE MANAGER ASSR & MAINT,SC Backend - Inputer|SCFE Inputer - DCS
TL PROV & MIG,NEWINDISOL - Inputer|SC Backend - Inputer|SCFE Inputer - DCS
SM HELPDESK,Approval Order SCBE|Cancel massal|cek status massal|Crl Task|Dashboard Report Agent|Invalid Survey SCBE|NEWINDISOL - Inputer|Report Plasa non Organik|SC Backend - Inputer|SCFE - Inbox Service Request|SCFE Inputer - DCS|Tools
MGR WILAYAH MAKASSAR - PARE PARE,SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Viewer|User Revoke
ASST MAN PROV & MIG MANADO,SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke
MGR SERVICE DELIVERY CONSUMER,SC Backend - Inputer|SC Frontend - Viewer|SCFE Inputer - DCS
MGR ADM & SUPPORT SERVICE DELIVERY,SCFE Inputer - DCS
MGR CONSTRUCTION YOGYAKARTA,Approval Order SCBE|Cancel massal|Crl Task|Invalid Survey SCBE|open MO|Report Plasa non Organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Viewer|SCFE - Inbox Service Request|SCFE - Input Service Request Basic|SCFE Inputer - DCS|User Revoke|User Revoke EBIS
MGR OPERATION JATENG,Invalid Survey SCBE|SC Backend - Viewer|SC Frontend - Viewer|User Revoke
MGR SHARED SERVICE BEKASI,SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Viewer|SCFE Inputer - DCS|Tools|User Revoke
MGR WILAYAH PURWOKERTO - MAGELANG,Approval Order SCBE|Invalid Survey SCBE|Profile khusu approval scbe|Report Plasa non Organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Viewer|SCFE - Inbox Service Request|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools
HELPDESK PROV & MIG,NEWINDISOL - Inputer|Profil khusus menu refund|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Viewer|SCFE - Inbox Service Request|SCFE - Input Service Request Basic|SCFE Inputer - DCS|User Revoke|User Revoke EBIS
SM SDI,Cancel massal|cek status massal|Invalid Survey SCBE|NEWINDISOL - Inputer|SC Backend - Inputer|SC Frontend - Inputer|SC Frontend - Viewer|SCFE - HSI dan SCBE FU HSI|SCFE Inputer - DCS|Tools|User Revoke|User Revoke EBIS
TL PROV BGES,SC Frontend - Viewer|SCFE Inputer - DCS
ASST MAN PROV & MIG YOGYAKARTA,Invalid Survey SCBE|SC Backend - Viewer|SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke
ASST MAN OPERATION PEKALONGAN,Inbox Cancel Telkomsel|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
TL SEKTOR IOAN TEMANGGUNG,Create and list opportunity|Invalid Survey SCBE|NEWINDISOL - Inputer|SC Backend - Inputer|SCFE Inputer - DCS
TL SEKTOR IOAN MUNTILAN,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
TL SEKTOR IOAN JIMBARAN 1,Create and list opportunity|NEWINDISOL - Inputer|SC Backend - Inputer|SCFE Inputer - DCS|Tools
OFF 2 OPERATIONAL AGENCY,Approval Order SCBE|Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SCFE Inputer - DCS
OFF 3 TRIBE INNOVATOR,Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Backroom|SCFE Inputer - DCS|Tools
SO IT & SERVICE PERFORMANCE ANALYST,SCFE Inputer - DCS
